pH,Ct_0,pH_Cl2,Replicate,Time,MCAN,MBAN,DCAN,BCAN,DBAN,TCAN,BDCAN
6.1,1,6.1_1,1,456,3.163,2.084526826,2.001711102,0.775667548,0.565134492,0.000645061,0.156425151
6.1,1,6.1_1,2,1,3.276125,2.190540836,2.444817825,0.837453193,0.590051154,1.978641856,1.190558943
6.1,1,6.1_1,2,3,3.276125,2.019713422,2.590176914,0.901587128,0.647033695,1.771394367,1.094695739
6.1,1,6.1_1,2,6,3.276125,1.922489241,2.393511062,0.841545984,0.604783806,1.712140069,1.179460381
6.1,1,6.1_1,2,12,3.361,2.215061002,2.027403547,0.721950617,0.517323834,1.512434807,1.094831951
6.1,1,6.1_1,2,24,3.245,2.138314839,2.201257274,0.782374811,0.558040299,1.25781716,1.007173034
6.1,1,6.1_1,2,48,3.455,2.276816668,2.517289323,0.852445662,0.598379423,0.950955449,0.773572433
6.1,1,6.1_1,2,72,3.036,2.000718273,2.147555294,0.785257659,0.565249102,0.668522583,0.783059179
6.1,1,6.1_1,2,96,3.23,2.128952536,2.06149643,0.74255526,0.532064801,0.435134894,0.637399325
6.1,1,6.1_1,2,168,3.47,2.287226431,2.161497635,0.783073584,0.56279661,0.148862935,0.487284983
6.1,1,6.1_1,2,288,3.328,2.19354071,1.947344893,0.631552028,0.458602699,0.016339495,0.272899601
6.1,1,6.1_1,2,456,3.084,2.032412851,1.865217948,0.726951601,0.534129119,0.000867874,0.158522556
6.1,2,6.1_2,1,1,3.26975,2.174803859,2.475988394,0.856730512,0.587943151,1.917453898,1.181079329
6.1,2,6.1_2,1,3,3.26975,1.909745192,2.324221311,0.834553202,0.590824989,1.610387884,1.077880921
6.1,2,6.1_2,1,6,3.26975,2.055596468,2.361898226,0.838998086,0.588526149,1.542832197,1.142033579
6.1,2,6.1_2,1,12,3.484,2.29637539,2.420000908,0.851918965,0.585895749,1.286302909,1.030095987
6.1,2,6.1_2,1,24,3.3,2.174672095,2.199851764,0.790088871,0.547259817,0.936063708,0.902467115
6.1,2,6.1_2,1,48,3.329,2.193720476,2.112422617,0.772929338,0.543325191,0.445171104,0.700437512
6.1,2,6.1_2,1,72,3.059,2.016361217,2.016865058,0.761553425,0.538749143,0.197815218,0.573415503
6.1,2,6.1_2,1,96,3.239,2.134381776,2.167607784,0.800884073,0.562032666,0.092636578,0.417340966
6.1,2,6.1_2,1,168,3.329,2.193750948,2.172587378,0.830565767,0.594904772,0.005366006,0.213424365
6.1,2,6.1_2,1,288,3.19,2.102397346,2.014815483,0.688235898,0.501399971,0,0.108355846
6.1,2,6.1_2,1,456,3.228,2.127693412,1.596898976,0.671280607,0.493117045,0,0.016853895
6.1,2,6.1_2,2,1,3.253,2.182518807,2.22612523,0.775249474,0.53440613,1.904127942,1.197502571
6.1,2,6.1_2,2,3,3.253,2.081449875,2.502380977,0.870272154,0.599463503,1.645436859,1.071534755
6.1,2,6.1_2,2,6,3.119,2.10241134,2.436202005,0.843642468,0.577177362,1.534477803,1.152149007
6.1,2,6.1_2,2,12,3.484,2.257927205,2.07232841,0.742347212,0.515778502,1.264916508,1.038142964
6.1,2,6.1_2,2,24,3.3,2.074142984,1.876703312,0.693364749,0.489632257,0.917357597,0.919355799
6.1,2,6.1_2,2,48,3.329,2.243286416,1.930406884,0.706520418,0.494329143,0.44801434,0.716237069
6.1,2,6.1_2,2,72,3.059,2.058444464,2.055793464,0.766355818,0.540088509,0.199411409,0.575841335
6.1,2,6.1_2,2,96,3.239,2.1441267,2.30783024,0.855326554,0.601389958,0.090766759,0.405161024
6.1,2,6.1_2,2,168,3.329,2.218231268,1.989061543,0.755576317,0.539112362,0.005550075,0.223115919
6.1,2,6.1_2,2,288,3.19,2.120733536,2.014815483,0.792458086,0.576664571,0,0.095381917
6.1,2,6.1_2,2,456,3.228,2.088952099,1.730208912,0.725950187,0.535827756,0,0.016228627
6.1,4,6.1_4,1,1,3.2591,2.147365615,2.156407753,0.753913996,0.523631966,1.82536036,1.20431239
6.1,4,6.1_4,1,3,3.053,2.012101979,2.580781974,0.90536328,0.632555454,1.489328022,1.05178439
6.1,4,6.1_4,1,6,3.162,2.083786979,2.379193007,0.839768751,0.588344652,1.26295066,1.072573044
6.1,4,6.1_4,1,12,3.269,2.154572228,2.578598778,0.920873945,0.648104899,0.90108814,0.885008972
6.1,4,6.1_4,1,24,3.246,2.139502514,2.120400799,0.775283585,0.545439562,0.378700132,0.7046315
6.1,4,6.1_4,1,48,3.441,2.268024506,2.265979961,0.838481489,0.591095463,0.061506743,0.388323403
6.1,4,6.1_4,1,72,3.098,2.041875075,1.931256667,0.741103336,0.529736745,0.007634613,0.25021002
6.1,4,6.1_4,1,96,3.328,2.193327467,1.854208178,0.720578755,0.517973441,0.000840274,0.164431008
6.1,4,6.1_4,1,168,3.482,2.294950527,1.677100114,0.681188261,0.503749929,0,0.038084702
6.1,4,6.1_4,1,288,3.322,2.189201762,1.622654477,0.61784333,0.474702542,0,0
6.1,4,6.1_4,1,456,3.19,2.102394548,1.098191618,0.550055445,0.443968569,0,0
6.1,4,6.1_4,2,1,3.307777778,2.178725132,2.56950721,0.883133656,0.607372415,1.777074323,1.166039043
6.1,4,6.1_4,2,3,3.307777778,2.04173781,2.316214545,0.824622736,0.581854933,1.442924532,1.087369597
6.1,4,6.1_4,2,6,3.292,2.169283498,2.621004967,0.907865855,0.623039264,1.2856196,1.082873258
6.1,4,6.1_4,2,12,3.34,2.201140887,2.047461133,0.743242992,0.525870895,0.892071922,0.913909202
6.1,4,6.1_4,2,24,3.311,2.181882596,1.921135933,0.707643167,0.498574796,0.373041399,0.714182488
6.1,4,6.1_4,2,48,3.433,2.262517211,2.197227322,0.814079035,0.573365404,0.061866705,0.404959253
6.1,4,6.1_4,2,72,3.102,2.044372832,2.004521448,0.776023139,0.559957816,0.00749276,0.250732882
6.1,4,6.1_4,2,96,3.316,2.185161085,2.091535267,0.803868657,0.574724928,0.000874129,0.162117841
6.1,4,6.1_4,2,168,3.466,2.284288767,1.750967279,0.710035075,0.524427987,0,0.035292895
6.1,4,6.1_4,2,288,3.283,2.163725874,1.603698522,0.614019893,0.472874572,0,0
6.1,4,6.1_4,2,456,3.227,2.126707804,1.108863778,0.558763295,0.453208571,0,0
7,0,7_0,1,1,3.351428571,2.088948078,2.21154251,0.778800023,0.65489905,1.251120806,1.121599861
7,0,7_0,1,3,3.351428571,2.228228315,2.274497895,0.799274421,0.668913874,1.211897058,1.092056501
7,0,7_0,1,6,3.351428571,2.294434721,2.588410791,0.920980152,0.778863384,1.330301284,1.288434562
7,0,7_0,1,12,3.351428571,2.034957699,2.380491003,0.856639415,0.739942451,1.257184453,1.188820114
7,0,7_0,1,24,2.861,2.088584947,2.23506349,0.808179494,0.693814147,0.999142921,1.014878861
7,0,7_0,1,48,3.216,2.074672461,2.138322,0.769986228,0.657243406,0.679191905,0.882814454
7,0,7_0,1,72,3.307,2.005297796,1.991492113,0.725308901,0.618446736,0.425925186,0.742031539
7,0,7_0,1,96,3.328,1.96301379,1.943175771,0.704449351,0.598187796,0.292374985,0.631799023
7,0,7_0,1,168,3.608,2.065774601,1.924402233,0.729192348,0.631377259,0.080725258,0.416066955
7,0,7_0,1,288,3.64,2.006839571,1.69392326,0.668919263,0.584000861,0.008294555,0.169995774
7,0,7_0,1,456,3.5,2.144586185,1.719263991,0.762874133,0.697658313,0,0.057578163
7,0,7_0,2,1,3.429714286,2.172163778,2.52714133,0.893556184,0.75688249,1.520325474,1.317527249
7,0,7_0,2,3,3.429714286,2.090639406,2.195763866,0.77668585,0.652983488,1.207561634,1.090576283
7,0,7_0,2,6,3.429714286,2.23660184,2.214954562,0.787770717,0.667119767,1.128187976,1.044482825
7,0,7_0,2,12,3.429714286,2.033786116,2.122711725,0.756957911,0.644149533,1.060031387,1.012784901
7,0,7_0,2,24,3.075,2.163222853,2.284922047,0.812566237,0.691091843,0.978532411,0.986770814
7,0,7_0,2,48,3.314,2.121785836,2.129619917,0.766710523,0.653194999,0.664553117,0.871182786
